X0,0,1,2,3,4,5
X1,6,7,8,9,10,11
X2,12,13,14,15,16,17
X3,18,19,20,21,22,23
X4,2,4,8,10,21,19,13,15
X5,18,20,14,12,3,5,9,11
X6,0,2,6,8,23,21,15,17
X7,20,22,14,16,3,1,7,9
Z0,0,1,2,3,4,5
Z1,6,7,8,9,10,11
Z2,12,13,14,15,16,17
Z3,18,19,20,21,22,23
Z4,2,4,8,10,21,19,13,15
Z5,18,20,14,12,3,5,9,11
Z6,0,2,6,8,23,21,15,17
Z7,20,22,14,16,3,1,7,9
OX0,11,10,4,5
OX1,4,5,12,13
OX2,7,6,0,1
OX3,0,1,16,17
OX4,9,11,18,20
OX5,8,10,4,2
OX6,22,20,9,7
OX7,6,8,2,0
OZ0,11,10,4,5
OZ1,4,5,12,13
OZ2,7,6,0,1
OZ3,0,1,16,17
OZ4,9,11,18,20
OZ5,8,10,4,2
OZ6,22,20,9,7
OZ7,6,8,2,0
